fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
AFP,2020/04/18 ,Philippines,false,A photo has been shared thousands of times in multiple Facebook posts in April 2020 alongside a claim it shows Philippine President Rodrigo Duterte carrying out presidential duties during the COVID-19 pandemic.,"The claim is false; this photo has circulated in news reports since 2017 about the president’s visit to Marawi, a war-torn city in the country’s south that was then besieged by militants.",FB,https://factcheck.afp.com/photo-has-circulated-reports-2017-about-rodrigo-duterte-visiting-marawi
Agência Lupa,2020/04/17 ,Brazil,false,The number of COVID-19 deaths in Brazil plummeted after Minister of Justice Sergio Moro ordered the Federal Police to investigate whether the numbers were being fabricated.,"Moro did not order such an investigation, and the number of deaths did not decrease. Actually, this Friday, April 17, had the highest number of registered deaths since the beginning of the crisis.",Facebook post,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-mortes-covid-policia-federal/
Maldita.es,2020/04/18 ,Spain,false,A video in which several people in suits are seen approaching the doors of a police station and taking photos with their masks coinciding with the coronavirus health crisis.,"This video together with this message ""masks arrive at a police station and put the boxes on the door, they notify the politician on duty and the sixth (TV channel) for the recording of the event"" and add that they repeat the scene with the mask on and then They take the medical supplies to another place to do the same. It is a hoax. The people who pose before the cameras are not politicians but they are from a brotherhood called La Hermandad de los Estudiantes de Oviedo, Asturias.",WhatsApp,https://maldita.es/malditobulo/2020/04/18/politicos-comisaria-cajas-oviedo-mascarillas-foto-posan-coronavirus-sanidad/
TheJournal.ie,2020/04/18 ,Ireland,false,"The number of deaths from respiratory illnesses in Ireland this year is comparable to previous years, and COVID-19 is not causing any more deaths than would usually be happening","There are no statistics to back up the claim that the number of deaths in Ireland is not any higher than normal. Data is published quarterly, and will not be available for some time.",Facebook,https://www.thejournal.ie/debunked-covid-19-deaths-respiratory-illnesses-compared-5076523-Apr2020/
AFP,2020/04/17 ,Tunisia,false,"Friday prayer started back in Tunisian mosques since April 17, after being closed during the pandemics lockdown, and a few days before Ramadan.",Tunisian Ministry of Foreign Affairs denied this claim,Tn-medias.tn,https://factuel.afp.com/non-les-autorites-tunisiennes-nont-pas-annonce-la-reprise-de-la-priere-du-vendredi-dans-les-mosquees
FactCrescendo,2020/04/18 ,India,false,Image of Pakistani youth protesting for hydroxychloroquine.,The image is edited to make the false claim.,Facebook/Twitter,https://tamil.factcrescendo.com/factcheck-pakistan-youths-didnt-protest-for-hydroxychloroquine/
TEMPO,2020/04/17 ,Indonesia,misleading,The FBI raided a Jewish synagogue in New York that hoards N95 masks.,"The video does show FBI raids related to the case of the hoarding of thousands of N95 masks and other medical equipment. However, the raid took place in the house of a man from Brooklyn, Baruch Feldheim, not in a synagogue or a place of worship for Jews.",Facebook post,https://cekfakta.tempo.co/fakta/738/fakta-atau-hoaks-benarkah-fbi-gerebek-sinagoge-yahudi-di-new-york-yang-timbun-masker-n95
BOOM FactCheck,2020/04/17 ,India,false,A poster stating Pakistan has asked for hydroxychloroquine instead of Kashmir.,The image is originally a poster held by Kashmiris demanding Azaadi and is not related to the coronavirus.,All social media,https://www.boomlive.in/fast-check/false-pak-citizens-demand-hydroxychloroquine-instead-of-kashmir-7713
Rappler,2020/04/18 ,Philippines,false,"Kabataan Representative Sarah Elago said that the lockdown and curfew imposed by President Rodrigo Duterte are against human rights, and that they are now calling for People Power.",Elago said she never said this and clarified that the Kabataan Party-list does not oppose the enhanced community quarantine. PNP PCADG Director Brigadier General Joselito Daniel said they will call the attention of their page administrators and investigate whether they posted the false claim.,Official Facebook page of the Philippine National Police - Police Community Affairs and Development Group,https://www.rappler.com/newsbreak/fact-check/258558-sarah-elago-quote-calling-for-people-power
Taiwan FactCheck Center,2020/04/18 ,Taiwan,false,"A video shows that Italian people knelt to pray to God for help, and repented of their sin during the COVID-19 outbreak.","The video was filmed in Manaus, Brasil, about a praying event organized by a church in April 2020.","Facebook, Line",https://tfc-taiwan.org.tw/articles/3692
Maldita.es,2020/04/17 ,"Spain, United Arab Emirates, India",false,A photo of Muslims praying in a group on rooftops that is shared as if it were during the confinement by coronavirus in Spain,"It is a hoax. Although we have not been able to verify if it is current or not, the photo has been taken in Dubai and not in Spain.",Facebook,https://maldita.es/malditobulo/2020/04/17/musulmanes-rezando-azoteas-confinamiento-coronavirus/
Maldita.es,2020/04/17 ,Spain,false,"Messages that are shared in networks claiming that the images emitted by laSexta (TV Channel) in which the former Prime Minister Mariano Rajoy is seen walking are not current and, therefore, would not correspond to images recorded during the confinement decreed by the state of alarm before the sanitary crisis by the coronavirus.","The images emitted by LaSexta de Rajoy while walking were recorded during the confinement by the coronavirus. The trip ticket, metadata and photos from inside the taxi confirm this. In addition, the agency that sold the first photos to laSexta also confirms that they are current.",Social media,https://maldita.es/malditobulo/2020/04/17/rajoy-confinamiento-paseo-pp-coronavirus-lasexta-diciembre/
Taiwan FactCheck Center,2020/04/17 ,Taiwan,false,"Claim that according to the New York Times, US ballistic-missile submarine USS Tennessee has eight confirmed cases. Since the submarine was on a mission for 119 days, it indicated that the virus was originated from the US.","New York Times does not have this feature. USS Tennessee was on a deterrence patrol mission from Jan. 11 from the end of December to Jan. 11. It did not stay underwater for 119 days. As to Apr. 19, there is no report regarding COVID-19 confirmed cases on USS Tennessee.","Facebook, Line",https://tfc-taiwan.org.tw/articles/3684
Check Your Fact,2020/04/17 ,United States,false,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,"While some Goodwill stores have laid off and furloughed employees in response to the pandemic, Goodwill Industries International has not fired all its employees.",Facebook,https://checkyourfact.com/2020/04/17/fact-check-goodwill-fire-all-employees-coronavirus/
FactCrescendo,2020/04/17 ,India,partly false,Image of Gulbarga car festival held during lockdown this year.,"Even though the claim that people violated lockdown restrictions and participated in Gulbarga car festival in Karnataka is true, the image shared is 2 years old when the crowd was much larger in comparison to the recent event.",Facebook,https://tamil.factcrescendo.com/factcheck-picture-of-car-festival-held-in-gulbarga/
Check Your Fact,2020/04/17 ,United States,false,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,There is no scientific evidence that eucalyptus vapor can prevent people from contracting the new coronavirus. No mention of such research appears on the University of Havana website.,Facebook,https://checkyourfact.com/2020/04/17/fact-check-eucalyptus-vapor-prevent-coronavirus/
Newschecker,2020/04/17 ,India,false,People are offering prayers in groups on rooftops despite lockdown. That too when cases of coronavirus in India are continuously increasing.,The picture being shared is not of India but of Dubai. People in Arab countries have been called to follow the lockdown and offer prayers in their homes.,Twitter,https://www.newschecker.in/article/news-detail/275_15684148
FactCrescendo,2020/04/17 ,India,false,Indian Police mistreating positive Coronavirus patients.,This video from Barabanki is a mock drill conducted by UP Police to practice handling diferent situations related to COVID-19 patients.,Facebook/Twitter,https://www.factcrescendo.com/fact-check-police-misbehaving-with-coronavirus-patient-in-barabanki/
Newschecker,2020/04/17 ,India,false,"A year ago, 14-year-old astrologer Abhigyan Anand had made a prediction about the corona virus.",We listened to the said video which was uploaded on 22 august 2019 but the name of coronavirus was not mentioned anywhere in the 15 min long video.,"Many media outlets, Facebook, WhatsApp, Twitter",https://www.newschecker.in/article/news-detail/275_15720321
The Quint,2020/04/17 ,India,false,Bihar’s Health Department has confirmed that poultry chicken is the source of coronavirus.,"There is no truth to the newspaper clipping. Firstly, the clipping itself is fake and has possibly been created using an online tool. Secondly, the Bihar Health Department has confirmed that no such observation has been made.",WhatsApp,https://www.thequint.com/news/webqoof/bihar-confirms-chicken-as-source-of-covid-19-fake-newspaper-clipping-goes-viral
FactCrescendo,2020/04/17 ,India,false,"Video of people thronging to a wine shop in Assam, India amid lockdown.",The video is not from Assam but an old video from Kerala.,Facebook,https://assamese.factcrescendo.com/fact-check-video-of-people-rushing-to-wine-shop-from-assam/
FactCrescendo,2020/04/17 ,India,false,"A video shows a naked man vandalizing a “mosque”, linking him with coronavirus pandemic in India.",The viral video has nothing to do with coronavirus and India. It is an old incident from Pakistan in which a mentally challenged man had broken into the local mosque in August 2019.,Facebook/Twitter,https://marathi.factcrescendo.com/old-video-from-pakistan-shared-as-jamatis-misbehavior-in-up-hospital/
TEMPO,2020/04/17 ,Indonesia,misleading,The FBI raided a Jewish synagogue in New York that hoards N95 masks.,"The video does show FBI raids related to the case of the hoarding of thousands of N95 masks and other medical equipment. However, the raid took place in the house of a man from Brooklyn, Baruch Feldheim, not in a synagogue or a place of worship for Jews.",Facebook post,https://cekfakta.tempo.co/fakta/738/fakta-atau-hoaks-benarkah-fbi-gerebek-sinagoge-yahudi-di-new-york-yang-timbun-masker-n95
Newschecker,2020/04/17 ,India,false,Internet sensation and the world’s cutest baby Anahita Hashemzadeh is suffering COVID-19.,Anahita's mother has denied the rumors and informed that Anahita is healthy and she isnt the girl in the viral video.,Twitter/Youtube,https://www.newschecker.in/article/news-detail/275_15730788
Newschecker,2020/04/17 ,India,false,Coronavirus in poultry products has been confirmed by the Bihar Health Department.,"The Health Department of the Government of Bihar, through a Facebook post on April 15, 2020, has denied the claim that coronavirus is found in poultry products.",WhatsApp,https://www.newschecker.in/article/news-detail/275_15726162
AfricaCheck,2020/04/17 ,"Rwanda, East Africa",false,"According to a BBC News screenshot, seven coronavirus victims in Rwanda were shot dead by unknown gunmen.","The BBC post was manipulated, with a photo overlaid on the original. The photo of Rwandan president Paul Kagame is from 2011, and BBC News Africa has branded the post fake. There is no evidence that anyone infected with the coronavirus in Rwanda has been shot.",Facebook,https://africacheck.org/fbcheck/seven-coronavirus-victims-shot-dead-in-rwanda-no-bbc-post-manipulated/
CheckNews,2020/04/17 ,France,misleading,Various claims that “the virus was made in a Chinese laboratory”.,"We explain the origin of the claims, which ones are based and which ones are false.","Websites, social media",https://www.liberation.fr/checknews/2020/04/17/covid-19-le-virus-provient-il-d-un-laboratoire-chinois_1785550
FactCrescendo,2020/04/17 ,India,partly false,Image of Gulbarga car festival held during lockdown this year.,"Even though the claim that people violated lockdown restrictions and participated in Gulbarga car festival in Karnataka is true, the image shared is 2 years old when the crowd was much larger in comparison to the recent event.",Facebook,https://tamil.factcrescendo.com/factcheck-picture-of-car-festival-held-in-gulbarga/
Washington Post Fact-Checker,2020/04/17 ,United States,four pinocchios,Trump’s claim that Obama’s handling of the 2009 swine flu pandemic was a disaster.,Obama received high marks for his handling of the pandemic,Twitter,https://www.washingtonpost.com/politics/2020/04/21/trumps-bizarre-effort-tag-obamas-swine-flu-response-disaster/
Check Your Fact,2020/04/17 ,United States,false,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,There is no scientific evidence that eucalyptus vapor can prevent people from contracting the new coronavirus. No mention of such research appears on the University of Havana website.,Facebook,https://checkyourfact.com/2020/04/17/fact-check-eucalyptus-vapor-prevent-coronavirus/
Newschecker,2020/04/17 ,India,false,People are offering prayers in groups on rooftops despite lockdown. That too when cases of coronavirus in India are continuously increasing.,The picture being shared is not of India but of Dubai. People in Arab countries have been called to follow the lockdown and offer prayers in their homes.,Twitter,https://www.newschecker.in/article/news-detail/275_15684148
BOOM FactCheck,2020/04/17 ,India,false,Migrant family walking from Surat due to the lockdown committed suicide due to starvation.,"The incident is from 2018 in Wardha, Nagpur where a family committed suicide due to financial problems and is not linked to coronavirus",All social media platforms,https://www.boomlive.in/fake-news/image-of-suicide-in-maharashtra-revived-with-lockdown-spin-7714
Agência Lupa,2020/04/17 ,Brazil,false,The number of COVID-19 deaths in Brazil plummeted after Minister of Justice Sergio Moro ordered the Federal Police to investigate whether the numbers were being fabricated.,"Moro did not order such an investigation, and the number of deaths did not decrease. Actually, this Friday, April 17, had the highest number of registered deaths since the beginning of the crisis.",Facebook post,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-mortes-covid-policia-federal/
Maldita.es,2020/04/17 ,Spain,false,"The viral audio about the Government of Spain is not by Daniel Múgica, son of Enrique Múgica, former Minister of Spain during the government of Felipe González.",It is a hoax,Whatsapp,https://maldita.es/malditobulo/2020/04/16/audio-daniel-mugica-gobierno-espana/
BOOM FactCheck,2020/04/17 ,India,false,Hindus were not allowed to receive food being distributed in a mosque in India during the lockdown.,The incident is from Bangladesh where Hindus were not allowed to collect food from the mosque and is not from India,Faacebook,https://www.boomlive.in/fake-news/video-showing-aid-denied-to-hindus-in-bangladesh-shared-as-india-7718
AFP,2020/04/17 ,Tunisia,false,"Friday prayer started back in Tunisian mosques since April 17, after being closed during the pandemics lockdown, and a few days before Ramadan.",Tunisian Ministry of Foreign Affairs denied this claim,Tn-medias.tn,https://factuel.afp.com/non-les-autorites-tunisiennes-nont-pas-annonce-la-reprise-de-la-priere-du-vendredi-dans-les-mosquees
TEMPO,2020/04/17 ,Indonesia,misleading,The FBI raided a Jewish synagogue in New York that hoards N95 masks.,"The video does show FBI raids related to the case of the hoarding of thousands of N95 masks and other medical equipment. However, the raid took place in the house of a man from Brooklyn, Baruch Feldheim, not in a synagogue or a place of worship for Jews.",Facebook post,https://cekfakta.tempo.co/fakta/738/fakta-atau-hoaks-benarkah-fbi-gerebek-sinagoge-yahudi-di-new-york-yang-timbun-masker-n95
FactCrescendo,2020/04/17 ,India,false,"In India, BJP Leader Manoj Tiwari violating lockdown and moving on streets.",This video dates back before nationwide lockdown was announced in India.,Facebook/Twitter,https://www.factcrescendo.com/fact-check-bjp-leader-manoj-tiwari-moving-around-with-supporters-amidst-lockdown/
BOOM FactCheck,2020/04/17 ,India,false,A poster stating Pakistan has asked for hydroxychloroquine instead of Kashmir.,The image is originally a poster held by Kashmiris demanding Azaadi and is not related to the coronavirus.,All social media,https://www.boomlive.in/fast-check/false-pak-citizens-demand-hydroxychloroquine-instead-of-kashmir-7713
Newschecker,2020/04/17 ,India,false,Coronavirus in poultry products has been confirmed by the Bihar Health Department.,"The Health Department of the Government of Bihar, through a Facebook post on April 15, 2020, has denied the claim that coronavirus is found in poultry products.",WhatsApp,https://www.newschecker.in/article/news-detail/275_15726162
Agência Lupa,2020/04/17 ,Brazil,false,"Video of a woman being pushed by a police officer and told to go to her house. On the subtitles, it is said that this happened because she disrespected lockdown measures in Bahia, Brazil.","Although the video is recent, the police officers are breaking up a fight between two neighbours. This is not related to lockdown.",Facebook post,https://piaui.folha.uol.com.br/lupa/2020/04/17/verificamos-mulher-agredida-guarda-bahia/
Science Feedback,2020/04/16 ,United States,no evidence,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"In summary, the hypothesis that SARS-CoV-2 is a bioengineered virus released or leaked from a Wuhan research laboratory relies on scientific claims that are either unsupported or false. It ought to be noted, however, that this does not concern the hypothesis of a natural virus being studied and accidentally leaking, for example because of animal escape or infection of laboratory staff.",The Epoch Times,https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/
Check Your Fact,2020/04/16 ,United States,false,The Food and Drug Administration (FDA) authorized Bodysphere’s two-minute COVID-19 testing kit.,The FDA has not authorized Bodysphere’s two-minute coronavirus test.,Facebook,https://checkyourfact.com/2020/04/16/fact-check-fda-authorize-bodysphere-two-minute-coronavirus-test/
Check,2020/04/17 ,"Latvia, Ukraine, Lithuania",false,"FB post says coronavirus was successfully treated in Moscow 40 years ago with Arbidol and other pills, so the idea that there is no medication is a lie.","Coronaviruses have been found in humans since the 1960’s, but 2019-nCoV is new one. Effectiveness of Arbidol has not been proved",Facebook,https://ru.rebaltica.lv/?p=2193&fbclid=IwAR2dwytUROZmVZvIPYSC6Bz28jKWYnXNE5X_JkOAlyFdP6JLfl9f41G9TMw
AFP,2020/04/17 ,Pakistan,false,A video of monkeys swimming in a pool has been viewed thousands of times on Facebook and Twitter alongside a claim it was filmed was shot in the Pakistani capital during a COVID-19 lockdown.,The claim is false; the video actually shows monkeys enjoying a swim at a hotel in India during the COVID-19 lockdown.,"Fb, twitter",https://factcheck.afp.com/video-shows-monkeys-swimming-pool-india-during-covid-19-lockdown
Newschecker,2020/04/17 ,India,false,"A year ago, 14-year-old astrologer Abhigyan Anand had made a prediction about the corona virus.",We listened to the said video which was uploaded on 22 august 2019 but the name of coronavirus was not mentioned anywhere in the 15 min long video.,"Many media outlets, Facebook, WhatsApp, Twitter",https://www.newschecker.in/article/news-detail/275_15720321
The Quint,2020/04/16 ,India,false,Delhi Health Minister Satyendar Jain said that not a single one of the 30 thousand in Markaz was found coronavirus positive.,The claim shared with the post is false. The post misquotes him and has clipped a part of a larger video.,Facebok,https://www.thequint.com/news/webqoof/delhi-health-minister-satyendra-jain-misquoted-to-claim-none-from-markaz-coronavirus-positive
AFP,2020/04/16 ,"Burkina Faso, West Africa",false,This picture shows a list of advices given by WHO to prevent and cure COVID-19,This list of alleged medical advices actually gathers several fake informations,Social media,https://factuel.afp.com/cette-liste-daffirmations-et-de-conseils-medicaux-sur-le-coronavirus-est-fausse
PesaCheck,2020/04/16 ,"Kenya, Libya",false,Some countries throw Covid-19 infected dead bodies into the seas.,The video is from the Libyan coast where bodies of African immigrants were washed ashore from a shipwreck in 2014.,Facebook,https://pesacheck.org/false-this-video-does-not-show-bodies-of-covid-19-victims-dumped-into-the-sea-fd35c34a0e68
Faktograf,2020/04/16 ,Croatia,false,"The pandemic is a lie, Covid-19 can be cured with vitamin C and Bill Gates is behind it all.",The conspiracy theory is based on numerous false claims.,Facebook post,https://faktograf.hr/2020/04/16/pandemija-nije-laz-iza-koje-stoji-bill-gates-niti-se-covid-19-lijeci-vitaminom-c/?fbclid=IwAR0BkMRTTP1xJ5n_uPgg2nGz1uB0BB3AMYYw4gYFt055UTdc-KDGn5yAOSs
The Quint,2020/04/16 ,India,false,The image is from Gujarat and shows the condition of migrant workers who are stuck due to the lockdown.,The image is being circulated with a misleading claim. It does not show the plight of migrant workers or homeless people in Gujarat but shows Bangladeshi refugees in Malaysia waiting to go back home.,Facebook,https://www.thequint.com/news/webqoof/people-violating-lockdown-in-gujarat-no-image-if-from-malaysia
The Quint,2020/04/16 ,India,false,"A man was beaten by the cops in Dehradun, India after he violated the lockdown norms and came out to spit on people’s doors and handles.","The man, seen in the video, was beaten up by the cops because he violated the lockdown norms. However the police denied any communal angle and said that the video is being shared with a false claim.",Facebook,https://www.thequint.com/news/webqoof/video-of-man-violating-coronavirus-lockdown-in-dehradun-given-a-communal-spin-fact-check
FactCrescendo,2020/04/17 ,India,false,"In India, BJP Leader Manoj Tiwari violating lockdown and moving on streets.",This video dates back before nationwide lockdown was announced in India.,Facebook/Twitter,https://www.factcrescendo.com/fact-check-bjp-leader-manoj-tiwari-moving-around-with-supporters-amidst-lockdown/
BOOM FactCheck,2020/04/17 ,India,false,A poster stating Pakistan has asked for hydroxychloroquine instead of Kashmir.,The image is originally a poster held by Kashmiris demanding Azaadi and is not related to the coronavirus.,All social media,https://www.boomlive.in/fast-check/false-pak-citizens-demand-hydroxychloroquine-instead-of-kashmir-7713
PesaCheck,2020/04/16 ,Kenya,false,Kenya is offering a COVID-19 mobile data grant to citizens.,The Directorate of Criminal Investigations has flagged the grant as a scam. The site offering the data bundles appears to be a phishing link out to steal personal data.,Website,https://pesacheck.org/hoax-kenya-is-not-offering-a-covid-19-mobile-data-grant-to-citizens-1d0b56095ad5
Vishvas News,2020/04/16 ,India,false,Police catches coronavirus positive patient on the road.,Mockdrill video in Uttar Pradesh viral in the name of coronavirus.,Facebook post,https://www.vishvasnews.com/politics/fact-check-mockdrill-took-place-in-barabanki-up-people-spread-the-video-with-lies/
BOOM FactCheck,2020/04/16 ,India,false,A police officer in Bihar’s Hajipur jail has been affected with coronavirus.,The video is of a mock drill performed by Bihar's Hajipur police for coronavirus preparedness.,Facebook,https://hindi.boomlive.in/fake-news/mock-drill-video-from-bihar-on-covid-19-preparedness-shared-as-real-7701
Science Feedback,2020/04/16 ,United States,no evidence,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"In summary, the hypothesis that SARS-CoV-2 is a bioengineered virus released or leaked from a Wuhan research laboratory relies on scientific claims that are either unsupported or false. It ought to be noted, however, that this does not concern the hypothesis of a natural virus being studied and accidentally leaking, for example because of animal escape or infection of laboratory staff.",The Epoch Times,https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/
AFP,2020/04/16 ,"France, West Africa",false,This video shows an African national being severely beaten in China during COVID-19 pandemics,"This video was published in 2015, and doesn't have anything to do with the COVID-19 pandemic. In the past weeks, several videos showing alleged violence against African nationals in China were published on social media.",Social media,https://factuel.afp.com/cette-video-dun-africain-passe-tabac-en-chine-date-au-moins-de-2015
Teyit,2020/04/16 ,Turkey,false,The case-death rate was fixed in Turkey on purpose.,"Decimal expressions have no meaning alone. If it is counted by percentiles, the case-death rate changes day by day.",Twitter,https://teyit.org/turkiyede-yeni-koronavirusun-vaka-olum-oraninin-sabitlendigi-iddiasi/
AFP,2020/04/16 ,United States,false,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack Obama’s handling of the H1N1 pandemic and placing “ALL responsibility” on presidents in a crisis.",This is false; the fabricated tweet has more characters than was allowed in 2009 and it does not appear in Twitter archives.,"fb, instagram, twitter",https://factcheck.afp.com/trump-did-not-post-tweet-about-h1n1-pandemic-2009
Rappler,2020/04/16 ,Philippines,false,"In his televised evening address on Thursday, April 16, President Rodrigo Duterte said the Philippines was the first to impose a lockdown in Asia amid the coronavirus pandemic.","Several countries in Asia enforced lockdowns and community quarantines before the Philippines put Metro Manila on lockdown on March 15, and the entire Luzon on March 17.",Statement of President Rodrigo Duterte,https://www.rappler.com/newsbreak/fact-check/258258-philippines-first-impose-coronavirus-lockdown-asia-duterte
PolitiFact,2020/04/16 ,United States,false,"In the United States, there are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”","According to the CDC, there were 3,709 U.S. deaths from accidental drowning or submersion in 2017. Not all drowning deaths occur in swimming pools. Drowning is not infectious or contagious, and deaths from it are spread over time.",Phil McGraw,https://www.politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/
The Quint,2020/04/16 ,India,false,Delhi Health Minister Satyendar Jain said that not a single one of the 30 thousand in Markaz was found coronavirus positive.,The claim shared with the post is false. The post misquotes him and has clipped a part of a larger video.,Facebok,https://www.thequint.com/news/webqoof/delhi-health-minister-satyendra-jain-misquoted-to-claim-none-from-markaz-coronavirus-positive
The Quint,2020/04/16 ,India,false,"A man was beaten by the cops in Dehradun, India after he violated the lockdown norms and came out to spit on people’s doors and handles.","The man, seen in the video, was beaten up by the cops because he violated the lockdown norms. However the police denied any communal angle and said that the video is being shared with a false claim.",Facebook,https://www.thequint.com/news/webqoof/video-of-man-violating-coronavirus-lockdown-in-dehradun-given-a-communal-spin-fact-check
PesaCheck,2020/04/16 ,"Kenya, Libya",false,Some countries throw Covid-19 infected dead bodies into the seas.,The video is from the Libyan coast where bodies of African immigrants were washed ashore from a shipwreck in 2014.,Facebook,https://pesacheck.org/false-this-video-does-not-show-bodies-of-covid-19-victims-dumped-into-the-sea-fd35c34a0e68
Agência Lupa,2020/04/16 ,Brazil,false,A poll with doctors from 30 different countries confirm that chloroquine is the most effective treatment against COVID-19.,"The poll the post refers to shows that azithromycin is the most popular treatment for COVID-19, while plasma from cured patients is viewed as the most effective. Hydroxychloroquine and Chloroquine are in both lists, but not on top.",Facebook Post,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-medicos-30-paises-eficacia-cloroquina/?fbclid=IwAR0C4HGkHXPlY9NDQkJ1EEddRxkIeG2Bd-OG431-aiVty6EmsvjxJUhZeyc
PesaCheck,2020/04/16 ,Kenya,false,Kenya is offering a COVID-19 mobile data grant to citizens.,The Directorate of Criminal Investigations has flagged the grant as a scam. The site offering the data bundles appears to be a phishing link out to steal personal data.,Website,https://pesacheck.org/hoax-kenya-is-not-offering-a-covid-19-mobile-data-grant-to-citizens-1d0b56095ad5
The Quint,2020/04/16 ,India,false,The image is from Gujarat and shows the condition of migrant workers who are stuck due to the lockdown.,The image is being circulated with a misleading claim. It does not show the plight of migrant workers or homeless people in Gujarat but shows Bangladeshi refugees in Malaysia waiting to go back home.,Facebook,https://www.thequint.com/news/webqoof/people-violating-lockdown-in-gujarat-no-image-if-from-malaysia
LeadStories,2020/04/16 ,United States,false,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,"There is language in the bill that says hospitals will be compensated 15% more for COVID-19 patients, but there is no evidence to prove that NYC hospitals are inflating their numbers.",facebook,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Some-Hospitals-Compensated-For-COVID-19-Patients-Under-Stimulus-But-NO-Evidence-NYC-Hospitals-Inflating-Coronavirus-Numbers.html
LeadStories,2020/04/16 ,United States,false,Amazon’s Alexa says the government released the coronavirus.,Amazon told Lead Stories that their AI system does not give that Alexa response to any question about the coronavirus.,TikTok,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Amazon's-Alexa-Does-Not-Say-'The-Government'-Released-Coronavirus.html
Dubawa,2020/04/16 ,Ghana,false,"Social media users claimed Ghana did poorly with respect to food distribution amid the COVID-19 season, when compared to Niger, Nigeria and Rwanda.",The photos have been taken out of context. The one purported to have been from Rwanda was originally taken in The Gambia and is a photo of food distributed during Ramadan. The other sets of images also are scenes from Senegal and not Niger or Nigeria as claimed by social media users.,Facebook,https://ghana.dubawa.org/how-pictures-of-food-distribution-taken-out-of-context-were-used-to-ridicule-ghana/
Science Feedback,2020/04/16 ,United States,no evidence,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"In summary, the hypothesis that SARS-CoV-2 is a bioengineered virus released or leaked from a Wuhan research laboratory relies on scientific claims that are either unsupported or false. It ought to be noted, however, that this does not concern the hypothesis of a natural virus being studied and accidentally leaking, for example because of animal escape or infection of laboratory staff.",The Epoch Times,https://healthfeedback.org/viral-video-promotes-the-unsupported-hypothesis-that-sars-cov-2-is-a-bioengineered-virus-released-from-a-wuhan-research-laboratory/
Nieuwscheckers,2020/04/16 ,"Netherlands, United States",false,"House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.","Nancy Pelosi never tweeted a video in which she calls on people to visit San Francisco's Chinatown; therefore, she couldn't have deleted it, either.","Among others US President Trump and his campaign leader, Brad Parscale; Dutch Forum voor Democratie-Europarlementarian Derk Jan Eppink",https://twitter.com/parscale/status/1250559631665115137
LeadStories,2020/04/16 ,United States,false,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.",However there is no record of a tweet ever existing on Nancy Pelosi's Twitter account that featured the video in question.,twitter,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Pelosi-Did-NOT-Delete-Video-Urging-Visits-To-Chinatown-During-COVID-19.html
Rappler,2020/04/16 ,Philippines,false,"In his televised evening address on Thursday, April 16, President Rodrigo Duterte said the Philippines was the first to impose a lockdown in Asia amid the coronavirus pandemic.","Several countries in Asia enforced lockdowns and community quarantines before the Philippines put Metro Manila on lockdown on March 15, and the entire Luzon on March 17.",Statement of President Rodrigo Duterte,https://www.rappler.com/newsbreak/fact-check/258258-philippines-first-impose-coronavirus-lockdown-asia-duterte
PolitiFact,2020/04/16 ,United States,false,"In the United States, there are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”","According to the CDC, there were 3,709 U.S. deaths from accidental drowning or submersion in 2017. Not all drowning deaths occur in swimming pools. Drowning is not infectious or contagious, and deaths from it are spread over time.",Phil McGraw,https://www.politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/
